id,service_id,base_price,category,created_at,description,estimated_duration_minutes,icon_name,is_active,name,updated_at,pet_type,country_code
13,IN-CAT-BASIC-001,1000,basic,2025-11-26 15:05:06.643511,Basic grooming package for cats,90,cat,true,Comfort Spa,2025-11-26 15:05:06.643517,cat,IN
14,IN-CAT-PREMIUM-001,1200,premium,2025-11-26 15:05:06.725527,Premium hygiene care for cats,105,sparkles,true,Hygiene Deluxe,2025-11-26 15:05:06.725532,cat,IN
15,IN-CAT-PREMIUM-002,1500,premium,2025-11-26 15:05:06.780697,Complete styling and grooming for cats,120,star,true,Glamour Groom,2025-11-26 15:05:06.780702,cat,IN
16,IN-DOG-BASIC-001,950,basic,2025-11-26 15:05:06.833004,Basic grooming package for dogs,90,dog,true,Fresh & Shine,2025-11-26 15:05:06.833008,dog,IN
17,IN-DOG-PREMIUM-001,1200,premium,2025-11-26 15:05:06.888785,Premium hygiene care for dogs,105,sparkles,true,Hygiene Plus,2025-11-26 15:05:06.88879,dog,IN
18,IN-DOG-PREMIUM-002,1600,premium,2025-11-26 15:05:06.944804,Complete styling and grooming for dogs,135,scissors,true,Ultimate Makeover,2025-11-26 15:05:06.944809,dog,IN
19,IN-BOTH-SUBSCRIPTION-001,6000,subscription,2025-11-26 15:05:06.999981,Monthly grooming subscription - Silver tier,0,silver,true,Silver Care,2025-11-26 15:05:06.999987,both,IN
20,IN-BOTH-SUBSCRIPTION-002,9000,subscription,2025-11-26 15:05:07.052995,Monthly grooming subscription - Gold tier,0,gold,true,Gold Wellness,2025-11-26 15:05:07.053,both,IN
21,IN-BOTH-SUBSCRIPTION-003,13000,subscription,2025-11-26 15:05:07.108804,Monthly grooming subscription - Platinum tier,0,platinum,true,Platinum Premium,2025-11-26 15:05:07.108809,both,IN
22,IN-BOTH-SUBSCRIPTION-004,20000,subscription,2025-11-26 15:05:07.165029,Monthly grooming subscription - Royal tier,0,crown,true,Royal PawTreat,2025-11-26 15:05:07.165033,both,IN
23,IN-BOTH-SPECIALTY-001,2500,specialty,2025-11-26 15:05:07.222085,Professional grooming training,180,book,true,Grooming Class,2025-11-26 15:05:07.222092,both,IN
24,IN-BOTH-SPECIALTY-002,1500,specialty,2025-11-26 15:05:07.277249,Pet boarding service,0,home,true,Boarding,2025-11-26 15:05:07.277259,both,IN
25,US-CAT-BASIC-001,60,basic,2025-11-26 15:05:07.332447,Basic grooming package for cats,90,cat,true,Comfort Spa,2025-11-26 15:05:07.332455,cat,US
26,US-CAT-PREMIUM-001,75,premium,2025-11-26 15:05:07.38531,Premium hygiene care for cats,105,sparkles,true,Hygiene Deluxe,2025-11-26 15:05:07.385314,cat,US
27,US-CAT-PREMIUM-002,95,premium,2025-11-26 15:05:07.44056,Complete styling and grooming for cats,120,star,true,Glamour Groom,2025-11-26 15:05:07.440565,cat,US
28,US-DOG-BASIC-001,55,basic,2025-11-26 15:05:07.493418,Basic grooming package for dogs,90,dog,true,Fresh & Shine,2025-11-26 15:05:07.493421,dog,US
29,US-DOG-PREMIUM-001,75,premium,2025-11-26 15:05:07.549561,Premium hygiene care for dogs,105,sparkles,true,Hygiene Plus,2025-11-26 15:05:07.549565,dog,US
30,US-DOG-PREMIUM-002,100,premium,2025-11-26 15:05:07.604376,Complete styling and grooming for dogs,135,scissors,true,Ultimate Makeover,2025-11-26 15:05:07.60438,dog,US
31,US-BOTH-SUBSCRIPTION-001,400,subscription,2025-11-26 15:05:07.656513,Monthly grooming subscription - Silver tier,0,silver,true,Silver Care,2025-11-26 15:05:07.656517,both,US
32,US-BOTH-SUBSCRIPTION-002,600,subscription,2025-11-26 15:05:07.709074,Monthly grooming subscription - Gold tier,0,gold,true,Gold Wellness,2025-11-26 15:05:07.709079,both,US
33,US-BOTH-SUBSCRIPTION-003,850,subscription,2025-11-26 15:05:07.764713,Monthly grooming subscription - Platinum tier,0,platinum,true,Platinum Premium,2025-11-26 15:05:07.76472,both,US
34,US-BOTH-SUBSCRIPTION-004,1200,subscription,2025-11-26 15:05:07.81683,Monthly grooming subscription - Royal tier,0,crown,true,Royal PawTreat,2025-11-26 15:05:07.816836,both,US
35,US-BOTH-SPECIALTY-001,180,specialty,2025-11-26 15:05:07.872874,Professional grooming training,180,book,true,Grooming Class,2025-11-26 15:05:07.872879,both,US
36,US-BOTH-SPECIALTY-002,120,specialty,2025-11-26 15:05:07.928923,Pet boarding service,0,home,true,Boarding,2025-11-26 15:05:07.92893,both,US
